con1	con1	trt1	trt2
INAVA	0.02	0.03	0.16	0
YY1AP1	37.05	33.18	36.89	38.48
ELF3	0.04	0	0.11	0.02
TMEM183A	54.4	44.76	39.95	43.22
TMEM79	1.79	3.07	2.5	2.58
SSR2	427.97	437.1	359.6	370.99
NUAK2	0.58	0.86	0.95	1.2
SMIM12	39.95	36.36	29.96	30.32
MEAF6	45.45	44.19	44.38	37.72
SNIP1	12.01	7.7	8.51	7.93
GNG4	29.25	24.38	8.74	9.09
COA6	53.8	48.09	25.29	23.33
MFSD2A	14.15	9.6	7.49	5.78
SERINC2	6.89	14.99	9.67	10.07
NDUFS5	404.89	406.2	393.17	405.64
AHCYL1	58.04	55.34	65.18	66.58
GSTM4	6.38	7.52	6.44	5.13
RAB3B	7.8	8.77	11.35	12.29
THBS3	1.42	4.53	5.74	5.17
SLC50A1	18.27	21.94	16.62	15.08
PTAFR	0.16	0.19	0.05	0.17
CLIC4	256.4	305.04	345.53	351.36
CRCT1	0	0	0	0
LUZP1	18.88	17.71	25.05	23.55
OTUD3	7.79	7.55	8.58	9.38
TAS1R3	0.07	0.05	0.1	0.07
IFFO2	14.72	14.46	14.47	14.21
SLC30A1	7.12	6.2	6.42	6.64
S1PR1	5.16	7.67	24.44	23.76
ZNF672	9.77	9.96	8.52	7.94
ZNF692	25.93	37.76	19.46	19.61
KCND3	0.01	0.09	0.02	0.05
LRRC8C	3.79	4.02	4.59	4.65
LRRC8D	13.78	15.74	12.93	11.96
COL24A1	0.41	0.37	0.73	0.32
LPAR3	5.16	5.33	5.35	4.48
CLSTN1	95.64	105.32	134.17	133.84
PIK3CD	16.79	27.88	23.04	24.97
SLC25A33	9.86	8.04	7.67	8.16
SPSB1	9.64	7.08	9.48	9.74
CAMTA1	54.02	60.13	48.28	47.06
CTPS1	70.75	67.26	59.96	56.01
METTL18	5.19	5.75	2.99	3.05
COL8A2	0.15	0.3	0.11	0.08
ANGPTL7	0	0.06	0	0
KLF17	0	0	0	0
SRGAP2C	6.64	5.66	8.45	7.65
PPIH	76.15	52.62	29.91	31.2
NEGR1	0.75	0.52	0.59	1.06
ALG14	8.59	8.43	2.01	1.95
GNG12	82.41	71.57	81.1	81.39
FGGY	31.34	54.25	26.01	24.34
HSPA6	0.48	0.98	0.46	0.3
VANGL1	19.45	20.04	16.39	16.2
DAB1	0.05	0.34	0.04	0.13
MICOS10	147.26	118.59	113.9	114.41
CD34	0.01	0.08	0	0
CYB561D1	3.92	3.75	6.28	5.28
PHLDA3	62.58	74.88	54.45	47.56
GLIS1	1.74	2.08	0.76	0.86
GOLT1A	0	0	0	0
PDZK1	0.36	1.17	0.71	0.32
GLMN	11.35	10.4	18.27	14.71
SH3BP5L	20.47	33.28	33.59	33.76
TMEM51-AS1	0.03	0.05	0	0.02
ZNF683	0	0	0	0
CLK2	31.16	40.34	36.43	30.91
